"","EXPID","PEAKID","YEAR","SEASON","SEASON_FACTOR","HOST","HOST_FACTOR","ROUTE1","ROUTE2","ROUTE3","ROUTE4","NATION","LEADERS","SPONSOR","SUCCESS1","SUCCESS2","SUCCESS3","SUCCESS4","ASCENT1","ASCENT2","ASCENT3","ASCENT4","CLAIMED","DISPUTED","COUNTRIES","APPROACH","BCDATE","SMTDATE","SMTTIME","SMTDAYS","TOTDAYS","TERMDATE","TERMREASON","TERMREASON_FACTOR","TERMNOTE","HIGHPOINT","TRAVERSE","SKI","PARAPENTE","CAMPS","ROPE","TOTMEMBERS","SMTMEMBERS","MDEATHS","TOTHIRED","SMTHIRED","HDEATHS","NOHIRED","O2USED","O2NONE","O2CLIMB","O2DESCENT","O2SLEEP","O2MEDICAL","O2TAKEN","O2UNKWN","OTHERSMTS","CAMPSITES","ROUTEMEMO","ACCIDENTS","ACHIEVMENT","AGENCY","COMRTE","STDRTE","PRIMRTE","PRIMMEM","PRIMREF","PRIMID","CHKSUM"
"1643","CHOY14108","CHOY",2014,1,"Spring",2,"China","NW side",NA,NA,NA,"Iran","Abdul Azim Barhmani","Iranian on Cho Oyu 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,"Zhangmu->Nyalam->Tingri",2014-04-22,2014-05-15,NA,23,27,2014-05-19,4,"Bad weather (storms, high winds)","Abandoned at 7500m due to high wind",7500,FALSE,FALSE,FALSE,2,0,2,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(22/04,4900m),ABC(25/04,5700m),C1(02/05,6400m),C2(07/05,7100m),xxx(15/05,7500m)","171525",NA,NA,"Prestige Adventure (Asian Trekking permit?)",TRUE,TRUE,FALSE,FALSE,FALSE,NA,2462452
"1644","DHA114104","DHA1",2014,1,"Spring",1,"Nepal","NE Ridge",NA,NA,NA,"Peru","Victor Hugu Rimac Trejo","Peru Dhaulagiri 2014",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,"See route notes",2014-05-04,2014-05-18,"1330",14,17,2014-05-21,1,"Success (main peak)",NA,8167,FALSE,FALSE,FALSE,3,0,1,1,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(04/05,4400m),C1(08/05,5700m),C2(09/05,6400m),C3(17/05,7400m),Smt(18/05)","171528",NA,"1st Peruvian ascent of Dhaulagiri","Seven Summit Treks",FALSE,TRUE,FALSE,FALSE,FALSE,NA,2462680
"1645","DHA114105","DHA1",2014,1,"Spring",1,"Nepal","NE Ridge",NA,NA,NA,"Romania","Alex Gavan","Seven Summit Treks Dhaulagiri Expedition 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,"See route notes",2014-05-04,2014-05-09,NA,5,8,2014-05-12,7,"Illness, AMS, exhaustion, or frostbite","Abandoned at 6300m due to general fatigue due to mountain conditions (snow)",6300,FALSE,FALSE,FALSE,2,0,1,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Summited Lobuche East on 19 April","BC(04/05,4750m),C1(08/05,5700m),C2(09/05,6300m),xxx(09,11/05,6300m)","125769",NA,NA,"Seven Summit Treks",FALSE,TRUE,FALSE,FALSE,FALSE,NA,2462671
"1646","DHA114106","DHA1",2014,1,"Spring",1,"Nepal","NE Ridge",NA,NA,NA,"Switzerland","Fiorenzo Dado","Intereg Dhaulagiri I Expedition 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Italy","Beni->Darban->BC",2014-04-16,2014-05-06,NA,20,24,2014-05-10,5,"Bad conditions (deep snow, avalanching, falling ice, or rock)","Abandoned at 7300m due to deep snow conditions",7300,FALSE,FALSE,FALSE,3,500,2,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"BC(16/04,4700m),C1(22/04,5800m),C2(28/04,6600m),C3(06/05,7300m),xxx(06-07/05,7300m)","171588",NA,NA,"Prestige Adventure",FALSE,TRUE,FALSE,FALSE,FALSE,NA,2462668
"1647","DHA114107","DHA1",2014,1,"Spring",1,"Nepal","NE Ridge",NA,NA,NA,"China","Luo Jing","Chinese Dhaulagiri I Expedition",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,"By helicopter from Pokhara to BC",2014-05-06,2014-05-18,"1215",12,15,2014-05-21,1,"Success (main peak)",NA,8167,FALSE,FALSE,FALSE,3,300,2,2,0,3,3,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(06/05,4550m),C1(10/05,5700m),C2(11/05,6400m),C3(17/05,7300m),Smt(18/05)","171595",NA,NA,"Seven Summit Treks",FALSE,TRUE,FALSE,FALSE,FALSE,NA,2462680
"1648","EVER14119","EVER",2014,1,"Spring",1,"Nepal","S Col-SE Ridge",NA,NA,NA,"USA","Dan Mazur","SummitClimb Everest Expedition 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Belgium, Canada, India, UK",NA,2014-04-18,2014-04-18,NA,0,19,2014-05-07,14,"Other","Abandoned at 5350m due to Sherpa strike",5350,FALSE,FALSE,FALSE,0,0,10,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(18/04,5350m),xxx","171603","1 Lhotse member lost all strength",NA,"Everest Parivar",TRUE,TRUE,FALSE,FALSE,FALSE,NA,2463235
"1649","EVER14120","EVER",2014,1,"Spring",2,"China","N Col-NE Ridge",NA,NA,NA,"Germany","Ralf Dujmovits","Everest 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,2014-04-23,2014-05-24,NA,31,35,2014-05-28,4,"Bad weather (storms, high winds)","Abandoned at 8300m due to strong cold wind",8300,FALSE,FALSE,FALSE,3,0,1,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(23/04,5100m),ABC(30/04,6400m),C1(06/05,7000m),C2(17/05,7700m),C3(24/05,8300m),xxx(24/05,8300m)","171632",NA,NA,"Thamserku Trekking",TRUE,TRUE,FALSE,FALSE,FALSE,NA,2463271
"1650","EVER14122","EVER",2014,1,"Spring",2,"China","N Col-NE Ridge",NA,NA,NA,"Malta","Gregory Attard","Malta Everest 2014",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,"01+- *9",2014-04-15,2014-05-25,NA,40,44,2014-05-29,1,"Success (main peak)","

",8849,FALSE,FALSE,FALSE,3,0,4,4,0,4,4,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,"BC(15/04,5300m),ABC(20/04,6400m),C1(27/04,7000m),C2(23/05,7800m),C3(24/05,8300m),Smt(25/05)","171659",NA,NA,"Seven Summit Treks",TRUE,TRUE,FALSE,FALSE,FALSE,NA,2463272
"1651","EVER14130","EVER",2014,1,"Spring",1,"Nepal","S Col-SE Ridge",NA,NA,NA,"Australia","Andrew Lock","8000 Summit Expedition 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,"Renjo La->Gokyo",2014-04-18,2014-04-18,NA,0,10,2014-04-28,14,"Other","Abandoned at 5350m due to Sherpa strike",5350,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(18/04,5350m),xxx","171686",NA,NA,"Himalaya Expeditions/Seven Summit Treks",TRUE,TRUE,FALSE,FALSE,FALSE,NA,2463235
"1652","EVER14131","EVER",2014,1,"Spring",1,"Nepal","S Col-SE Ridge",NA,NA,NA,"UK","Melanie Southworth","Seven Summit Treks Everest Expedition 2014 (Mooch Miggins Ever 2014)",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,"Renjo La->Gokyo",2014-04-15,NA,NA,0,13,2014-04-28,14,"Other","Abandoned at 5350m due to Sherpa strike",5350,FALSE,FALSE,FALSE,0,0,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Climbed Island Peak","BC(15/04,5350m),xxx","171691",NA,NA,"Seven Summit Treks",TRUE,TRUE,FALSE,FALSE,FALSE,NA,6469
